description,commit messages,linked issue titles,original,T5,BART,Llama3,DeepSeek-V2,BlueLM
" this adds visit* methods for the astbuilder to convert an antlr tree into a ql tree. i've only scoped this to stateless expressions (no sequence, join, pipes, ancestry). there are a few cases of eql are just shorthand for now, unless we add more optimal/direct support within ql: x in (a, b, c, ...) -> x == a or x == b or x == c or ... x == ""some*wildcard*expr*"" -> wildcard(x, ""some*wildcard*expr*"") functions get turned into unresolvedfunction. i think at some point, we'll need to add ql support for these or have these functions be eql only with a custom registry. i haven't dived much into that yet to see how this works. i'm assuming that this will be done in a separate follow up pr (created issue #51556 for new functions) related issues #49589 #49997 ", eql: add astbuilder visitors  eql: add tests for wildcards and sets  eql: fix licensing ,,add astbuilder to convert to ql tree,add astbuilder visitors eql,add visit* methods to astbuilder,adds visit* methods for the astbuilder to convert an antlr tree into a ql tree, Add visit* methods for ASTBuilder to convert Antlr tree to QL tree,eql: add astbuilder visitors
" i did correct some translation, and also i added link to let people visualize the code and test other attributes on it. i will edit this article when i prepare some new things in it, so it become more understandable. i have read freecodecamp's contribution guidelines. my pull request has a descriptive title (not a vague title like update index.md) my pull request targets the master branch of freecodecamp. none of my changes are plagiarized from another source without proper attribution. my article does not contain shortened urls or affiliate links. if your pull request closes a github issue, replace the xxxxx below with the issue number. "," total change  i changed the definition and the explanation, and make every possibilies of every logical type, and added some pictures of truth table to make the article and the sentences more understandable.  total change  article edited  i did correct some translation, and also i added link to let people visualize the code and test other attributes on it.  i will edit this article when i prepare some new things in it, so it become more understandable. ",,added arabic translation to html/table article,"i did correct some translation, and added link to let people visualize the code and test other attributes on it",edited article and added link to it,improve article on logical operators with truth tables, improved logical operators article with visual aids and translations,update article on boolean algebra (translated)
 this fixes #1121. #2999 should be merged first. , modified server ssl certs to allow multiple pairs and force_client_auth flag  fixed tests , change the node ssl server credentials api so that a server can have multiple key/cert pairs. ,allow node server credentials to have multiple key/cert pairs,ssl server credentials api to allow multiple pairs,change server ssl certs api so that a server can have multiple key/cert pairs,bugfix - modified server ssl certs to allow multiple pairs and force_client_auth flag, node ssl server credentials api update for multiple key/cert pairs,allow multiple ssl key/cert pairs for node ssl credentials
 deleted typography.js which unnecessarily complicates the example for styled-components moved createglobalstyle to a separate file with good practise , delete typography.js which shouldn't be in the styled-components example  moved globalstyle to external file with good practise ,,delete typography.js and move createglobalstyle to separate file for styled-components example,delete typography.js which shouldn't be in styled-components example,removed typography.js which unnecessarily complicates styled-components example,fix styled-components example with good practise, delete typography.js and move globalstyle to external file in styled-components example,simplify styled-components example
" it is fine to resolve the types of exported classes in es6: export class c { } var c = new c() but not for commonjs exported classes: module.exports.c = class { } var c = new c() // should error jsdoc type aliases are an exception since they are always exported implicitly, not by [property] assignment to module.exports or exports. fixes #24492 ", fix resolution of exported types in commonjs  it is fine to resolve the types of exported classes in es6:  js  export class c {  }  var c = new c()    but not for commonjs exported classes:  js  module.exports.c = class {  }  var c = new c() // should error    fixes #24492  all jsdoc type aliases are available locally in commonjs modules ," in js, crash on incorrect type reference of a module.exports property assignment ",fix exported type resolution in commonjs,fix resolution of exported types in commonjs,fix resolution of exported types in commonjs,improved handling of structurally identical classes in union types and instanceof expressions, Fix Type Resolution for CommonJS Exported Classes,improved handling of structurally identical classes
 i added wgsl support and keep glsl until finish nodematerial wgsl code generate. updated the example webgpu_compute and scale parameter behavior.  this contribution is funded by google via igalia. , webgpu: hybrid language  webgpu_compute: update of glsl -> wgsl  highlight point color  update screenshot ,,wgsl support and webgpu_compute example updated,add wgsl support and keep glsl until finish nodematerial wgsl code generate,update of glsl -> wgsl example,webgpu and nodematerial: add wgsl support, WGSL Support and GLSL Removal for WebGPU and NodeMaterial,webgpu glsl to wgsl conversion
 fixes #14522 (this demonstrates that mocking is possible and shows how). fix a bug in test.callasyncduplexstreamingcall (reverse order of generic args). show how to create a fake client stub show how to test server-side impl classes that implement the generated server methods. , add tests demonstrating how to mock client stubs  demonstrate testability of server-side impl classes , c# how to mock generated client base? ,add c# tests that demonstrate how to unit test grpc code with test doubles.,show how to mock server-side impl classes,show how to mock client stubs,add tests demonstrating testability of server-side impl classes, demonstrate mocking and testing in c# grpc,add tests demonstrating how to mock client stubs and test server-side impl classes
" this continues the port of the java comparison tool to python. changes to the blockstore and a small change in main.cpp are in separate commits. this includes and runs both the ""inexpensive"" and ""barely expensive"" tests. the ""barely expensive"" test (which consists of a few re-orgs) take a minute or two on my machine. java test is here: ", tests: rework blockstore to avoid re-serialization.  continuing port of java comptool  catch exceptions from non-canonical encoding and print only to log ,,continuing port of java comparison tool,continue port of java comparison tool to python,continue port of java comparison tool,Simplify ray.init() by invoking ray start internally, Continue porting Java comparison tool to Python,port of java comptool continued
" as discussed in dotnet/aspnetcore#15351, the behavior of the ""defaults"" methods could be clarified a bit. i had a few minutes so i took a stab at it. internal render: kestrel web server implementation in asp.net core configure certificate authentication in asp.net core ", update kestrel.md  update certauth.md  update kestrel.md  update kestrel.md  update certauth.md ,,add a clarifying note about kestrel's configureendpointdefaults and configurehttpdefaults methods,configure certificate authentication in asp.net core,update kestrel web server implementation in asp.net core,clarify defaults methods in asp.net core," Clarify ""defaults"" methods behavior in Kestrel and certificate authentication docs",clarify defaults methods in kestrel and certauth
 this pull request add the support of can iso-tp address extensions in the socket module by enhancing getsockaddrarg and getsockname. note to core developpers : i believe this pull request should be backported back to python 3.3 where socketcan support have been added. , added support for can_isotp protocol  added unit tests for can isotp  updated documentation for iso-tp protocol ,,bpo-30987 - support for iso-tp protocol in socketcan,add support for can isotp address extensions,add support for can iso-tp address extensions,add support for can iso-tp address extensions, Add CAN ISO-TP Address Extensions Support in Socket Module,add can_isotp address extensions to socket module
